,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
113,2025-05-21,306.17,303.98,307.56,302.89,6242559258.5000105,20456330.0,0.06600137131096122,307.0814285714286,304.7775,-1.372307873911268,4.223456896654234,313.22441379330843,296.3305862066915,305.01231307225163,5.713666796730178
114,2025-05-22,304.5,302.66,305.6,299.17,10582114096.699991,35013910.0,-0.0579219703908073,306.7871428571429,304.5205,-1.1769831971881786,4.186076513747541,312.8926530274951,296.14834697250495,303.44410435741725,5.709300555340106
115,2025-05-23,302.66,302.22,305.0,301.33,5198782407.699999,17175890.0,0.0034476793437081925,306.1985714285714,304.6335,-0.781027182214018,4.085792166958614,312.80508433391725,296.4619156660828,302.62803478580577,5.707840894783702
116,2025-05-26,302.22,297.77,302.49,295.5,10306538220.399984,34631470.0,-0.11898875167584795,304.61,304.48699999999997,-0.7288970985737819,4.282069224347809,313.0511384486956,295.9228615513043,299.38934492860193,5.692957428017367
117,2025-05-27,297.73,298.7,299.9,293.08,7673014297.999992,25760040.0,-0.03237591885143205,302.83142857142855,304.332,0.02920500011276772,4.437727725809956,313.2074554516199,295.45654454838007,298.9297816428673,5.69608626802173
118,2025-05-28,299.0,308.47,308.82,299.0,14648131212.000011,48001460.0,0.30523246725698877,302.8514285714286,305.0235,1.1622756878764449,3.891961046757178,312.8074220935144,297.23957790648564,305.2899272142891,5.7283775215115815
119,2025-05-29,308.61,306.65,309.95,305.66,7398147137.400005,24049740.0,-0.013168136538478918,302.92142857142863,305.255,0.5313948992773021,3.8412751446419073,312.9375502892838,297.57244971071617,306.196642404763,5.722440656474735
120,2025-05-30,306.27,309.3,310.29,305.01,6759369553.499991,21916240.0,0.11853260380454067,303.68142857142857,305.5805,0.5650372918199764,3.8968225585255047,313.374145117051,297.78685488294894,308.26554746825434,5.731073334892105
121,2025-05-31,309.31,308.74,309.84,308.31,451073946.5000003,1459500.0,-0.060210796134776506,304.55,305.90999999999997,0.11030910540694094,3.8700061199464244,313.6500122398928,298.1699877601071,308.5818491560848,5.729255270629232
122,2025-06-01,308.69,303.14,308.69,300.51,3618159889.8,11904960.0,-0.07271016192753875,304.68142857142857,305.948,-0.573174302689381,3.8371118524774315,313.6222237049548,298.27377629504514,304.9539497186949,5.710890486115579
123,2025-06-02,302.6,309.63,311.99,302.0,12643311908.799995,41216150.0,0.11365255136835009,306.3757142857143,306.1555,0.2523151698715651,3.9217483681592387,313.9989967363185,298.31200326368156,308.0713165728983,5.73214314842516
124,2025-06-03,309.7,313.55,314.88,309.39,10951973457.999992,34937680.0,0.12846735412194002,308.4971428571429,306.2925,0.1743869646516032,4.134966269830185,314.5624325396604,298.02256746033964,311.72377219096614,5.744764456377822
125,2025-06-04,314.0,313.23,318.29,311.17,16958795557.500011,53786160.0,0.08990746321105501,309.1771428571428,306.392,-0.5300237561352787,4.281626105262458,314.9552522105249,297.8287477894751,312.7279240636554,5.743740095713326
126,2025-06-05,313.55,317.96,318.59,313.53,8986855429.999996,28359290.0,0.06251867937210176,310.7928571428571,307.0795,-0.6650258327463803,4.962588962479985,317.00467792496,297.15432207504,316.21597468788514,5.758775582950241
